	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_017702095.1_PDT000996765.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3092642	0	248	248	34077	34077	12470	12470	130086	130086	37.6	3.64	85.57	11	3090	1	171	0	0	0	0
GCA_017702135.1_PDT000996764.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3051008	0	282	282	29079	29079	10819	10819	113547	113547	37.7	3.39	85.86	11	3050	1	171	0	0	0	0
GCA_017702155.1_PDT000996758.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3069967	0	256	256	32497	32497	11992	11992	130086	130086	37.6	3.66	85.66	11	3047	1	168	3	0	0	0
GCA_017702175.1_PDT000996755.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2969767	0	482	482	13775	13775	6161	6161	69131	69131	37.7	3.82	86.22	11	2992	1	171	0	0	0	0
GCA_017702195.1_PDT000996754.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3115382	0	252	252	29862	29862	12362	12362	148131	148131	37.6	3.58	85.74	11	3120	1	170	1	0	0	0
GCA_017702215.1_PDT000996750.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3086803	0	264	264	34330	34330	11692	11692	128938	128938	37.6	3.75	85.81	11	3064	1	169	2	0	0	0
GCA_017702235.1_PDT000996749.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3066578	0	311	311	23805	23805	9860	9860	84939	84939	37.6	3.56	85.72	11	3112	1	171	0	0	0	0
GCA_017702255.1_PDT000996745.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2863365	0	351	351	15944	15944	8157	8157	56642	56642	37.8	3.51	85.9	11	2839	1	171	0	0	0	0
GCA_017702275.1_PDT000996743.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3104793	0	244	244	34330	34330	12724	12724	180987	180987	37.6	3.92	85.77	11	3061	1	168	3	0	0	0
GCA_017702295.1_PDT000996740.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3221396	0	283	283	27438	27438	11383	11383	91988	91988	37.5	3.47	85.54	11	3287	1	169	2	0	0	0
GCA_017702315.1_PDT000996738.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3018619	0	276	276	26606	26606	10937	10937	180987	180987	37.6	3.43	85.77	11	2975	1	171	0	0	0	0
GCA_017702335.1_PDT000996735.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2988456	0	211	211	46219	46219	14163	14163	129425	129425	37.6	3.46	85.43	11	2960	1	171	0	0	0	0
GCA_017702355.1_PDT000996734.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2980237	0	211	211	36936	36936	14124	14124	118472	118472	37.6	4.03	85.5	11	2966	1	171	0	0	0	0
GCA_017702375.1_PDT000996733.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3019492	0	310	310	24980	24980	9740	9740	97021	97021	37.6	4.0	85.9	11	3005	1	171	0	0	0	0
GCA_017702395.1_PDT000997081.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3062210	0	237	237	34330	34330	12920	12920	189927	189927	37.6	3.8	85.63	11	3010	1	171	0	0	0	0
GCA_017702415.1_PDT000997063.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3054534	0	204	204	40664	40664	14973	14973	138051	138051	37.7	3.58	85.52	11	3005	1	171	0	0	0	0
GCA_017702435.1_PDT000997107.1	Firmicutes (1)	1349	172	99	98.99	1.52	100.0	3081731	0	223	223	38904	38904	13819	13819	180987	180987	37.6	3.92	85.64	11	3025	1	169	2	0	0	0
GCA_017702455.1_PDT000997052.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3077334	0	227	227	40414	40414	13556	13556	180987	180987	37.6	3.84	85.6	11	3024	1	170	1	0	0	0
GCA_017702475.1_PDT000997047.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3080753	0	231	231	38902	38902	13336	13336	173665	173665	37.6	4.22	85.7	11	3025	1	171	0	0	0	0
GCA_017702495.1_PDT000997000.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3122592	0	220	220	39259	39259	14193	14193	180987	180987	37.6	3.87	85.84	11	3092	1	171	0	0	0	0
GCA_017702505.1_PDT000997005.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3094380	0	222	222	40414	40414	13938	13938	180987	180987	37.6	4.18	85.69	11	3038	1	168	3	0	0	0
GCA_017702535.1_PDT000997037.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2965720	0	214	214	39259	39259	13858	13858	180987	180987	37.7	4.11	85.7	11	2889	1	171	0	0	0	0
GCA_017702555.1_PDT000996980.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3009717	0	209	209	33262	33262	14400	14400	116707	116707	37.7	3.89	85.51	11	2947	1	170	1	0	0	0
GCA_017702575.1_PDT000996990.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3047046	0	209	209	46981	46981	14579	14579	138051	138051	37.7	3.72	85.53	11	3005	1	171	0	0	0	0
GCA_017702595.1_PDT000996934.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3074115	0	219	219	34030	34030	14037	14037	180978	180978	37.6	3.92	85.57	11	3012	1	169	2	0	0	0
GCA_017702605.1_PDT000996950.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3022829	0	212	212	33576	33576	14258	14258	180987	180987	37.7	3.65	85.57	11	2947	1	169	2	0	0	0
GCA_017702635.1_PDT000996883.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3065583	0	243	243	34636	34636	12615	12615	180987	180987	37.6	3.78	85.6	11	3016	1	171	0	0	0	0
GCA_017702655.1_PDT000996834.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2877565	0	194	194	37103	37103	14832	14832	107513	107513	37.8	3.88	85.52	11	2777	1	171	0	0	0	0
GCA_017702665.1_PDT000996827.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3022576	0	197	197	44490	44490	15343	15343	130131	130131	37.7	4.06	85.56	11	2996	1	169	2	0	0	0
GCA_017702695.1_PDT000996818.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3100671	0	235	235	37551	37551	13194	13194	180795	180795	37.6	4.05	85.69	11	3050	1	168	3	0	0	0
GCA_017702715.1_PDT000996825.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3126815	0	216	216	28098	28098	14475	14475	89525	89525	37.6	3.23	85.67	11	3108	1	167	4	0	0	0
GCA_017702725.1_PDT000996829.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3007468	0	201	201	40675	40675	14962	14962	110529	110529	37.7	3.82	85.51	11	2988	1	170	1	0	0	0
GCA_017702755.1_PDT000996770.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3065989	0	258	258	25358	25358	11883	11883	148316	148316	37.7	3.31	85.73	11	3050	1	168	3	0	0	0
GCA_017702775.1_PDT000996787.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3122947	0	227	227	34688	34688	13757	13757	148576	148576	37.6	3.31	85.65	11	3120	1	168	3	0	0	0
GCA_017702795.1_PDT000996730.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3082568	0	248	248	34636	34636	12429	12429	180987	180987	37.6	3.82	85.73	11	3053	1	169	2	0	0	0
GCA_017702815.1_PDT000996721.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3110215	0	264	264	27567	27567	11781	11781	128881	128881	37.6	4.05	85.75	11	3081	1	170	1	0	0	0
GCA_017702835.1_PDT000996748.1	Firmicutes (1)	1349	172	99	98.99	0.67	100.0	3029433	0	234	234	26669	26669	12946	12946	130086	130086	37.7	3.34	85.89	11	3009	1	169	2	0	0	0
GCA_017702855.1_PDT000996719.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2974230	0	211	211	35607	35607	14095	14095	169920	169920	37.8	4.55	85.69	11	2905	1	171	0	0	0	0
GCA_017702875.1_PDT000996718.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3104654	0	260	260	31704	31704	11940	11940	130135	130135	37.6	3.48	85.73	11	3119	1	171	0	0	0	0
GCA_017702895.1_PDT000996709.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3014561	0	249	249	32322	32322	12106	12106	148136	148136	37.6	3.57	85.67	11	2989	1	171	0	0	0	0
GCA_017702905.1_PDT000996713.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3061720	0	268	268	31843	31843	11424	11424	141372	141372	37.6	4.05	85.83	11	3041	1	171	0	0	0	0
GCA_017702935.1_PDT000996706.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2959489	0	218	218	40190	40190	13575	13575	108343	108343	37.6	3.34	85.48	11	2929	1	171	0	0	0	0
GCA_017702955.1_PDT000996704.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3085436	0	211	211	32696	32696	14622	14622	128621	128621	37.7	3.36	85.74	11	3062	1	171	0	0	0	0
GCA_017702975.1_PDT000996703.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3037073	0	282	282	25317	25317	10769	10769	125004	125004	37.6	3.71	85.83	11	3011	1	171	0	0	0	0
GCA_017702995.1_PDT000996698.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3026126	0	237	237	32170	32170	12768	12768	180977	180977	37.6	3.82	85.54	11	2979	1	171	0	0	0	0
GCA_017703015.1_PDT000996694.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3084455	0	222	222	39259	39259	13893	13893	180987	180987	37.6	3.92	85.64	11	3030	1	169	2	0	0	0
GCA_017703035.1_PDT000996692.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3113320	0	225	225	40414	40414	13836	13836	180987	180987	37.6	4.02	85.65	11	3079	1	168	3	0	0	0
GCA_017703045.1_PDT000996693.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3072892	0	236	236	30988	30988	13020	13020	128948	128948	37.6	3.71	85.6	11	3027	1	171	0	0	0	0
GCA_017703075.1_PDT000996687.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3042621	0	207	207	37146	37146	14698	14698	130086	130086	37.7	3.58	85.7	11	3009	1	170	1	0	0	0
GCA_017703095.1_PDT000996682.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3063056	0	242	242	31960	31960	12657	12657	148247	148247	37.6	3.88	85.62	11	3024	1	169	2	0	0	0
GCA_017703115.1_PDT000996679.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3111156	0	238	238	38904	38904	13072	13072	180987	180987	37.6	4.07	85.71	11	3073	1	169	2	0	0	0
GCA_017703135.1_PDT000996683.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3131057	0	232	232	37702	37702	13495	13495	180987	180987	37.6	3.95	85.78	11	3095	1	169	2	0	0	0
GCA_017703155.1_PDT000996684.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3093291	0	214	214	40414	40414	14454	14454	180795	180795	37.6	3.76	85.64	11	3034	1	169	2	0	0	0
GCA_017703175.1_PDT000996678.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2988507	0	242	242	33737	33737	12349	12349	106951	106951	37.7	4.05	85.32	11	3013	1	171	0	0	0	0
GCA_017703195.1_PDT000996674.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3075084	0	218	218	40414	40414	14105	14105	180987	180987	37.6	3.79	85.58	11	3030	1	169	2	0	0	0
GCA_017703215.1_PDT000996677.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3081351	0	224	224	37245	37245	13756	13756	180977	180977	37.6	3.77	85.7	11	3035	1	169	2	0	0	0
GCA_017703235.1_PDT000996673.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3078750	0	222	222	34789	34789	13868	13868	148135	148135	37.7	3.49	85.63	11	3044	1	164	7	0	0	0
GCA_017703255.1_PDT000996672.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3082633	0	226	226	40815	40815	13639	13639	180987	180987	37.6	4.15	85.54	11	3032	1	170	1	0	0	0
GCA_017703275.1_PDT000996669.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3188735	0	221	221	37149	37149	14428	14428	148638	148638	37.6	3.31	85.66	11	3182	1	169	2	0	0	0
GCA_017703295.1_PDT000996670.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3071896	0	221	221	36902	36902	13899	13899	180795	180795	37.6	4.14	85.55	11	3025	1	171	0	0	0	0
GCA_017703315.1_PDT000996668.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3048267	0	233	233	31705	31705	13082	13082	138037	138037	37.7	3.48	85.71	11	3024	1	171	0	0	0	0
GCA_017703335.1_PDT000996667.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3096094	0	239	239	34330	34330	12954	12954	147130	147130	37.6	3.95	85.72	11	3047	1	171	0	0	0	0
GCA_017703355.1_PDT000996665.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3082532	0	239	239	37245	37245	12897	12897	180987	180987	37.6	4.21	85.71	11	3039	1	171	0	0	0	0
GCA_017703375.1_PDT000996663.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3103542	0	226	226	37615	37615	13732	13732	180987	180987	37.6	3.81	85.57	11	3051	1	168	3	0	0	0
GCA_017703395.1_PDT000997012.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2985346	0	234	234	29097	29097	12757	12757	90535	90535	37.7	3.97	85.66	11	2937	1	171	0	0	0	0
GCA_017703415.1_PDT000996940.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2914313	0	189	189	44966	44966	15419	15419	160396	160396	37.8	4.43	85.51	11	2854	1	171	0	0	0	0
GCA_017703435.1_PDT000996778.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2999354	0	208	208	43678	43678	14419	14419	120286	120286	37.6	3.59	85.48	11	2973	1	171	0	0	0	0
GCA_017703455.1_PDT000996661.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3066434	0	231	231	37091	37091	13274	13274	141372	141372	37.6	3.71	85.61	11	3012	1	171	0	0	0	0
GCA_017703475.1_PDT000996662.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3075181	0	229	229	38904	38904	13428	13428	180987	180987	37.6	4.09	85.61	11	3018	1	168	3	0	0	0
GCA_017703495.1_PDT000996658.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3120942	0	236	236	35398	35398	13224	13224	180987	180987	37.6	3.9	85.71	11	3069	1	167	4	0	0	0
GCA_017703515.1_PDT000996657.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3115077	0	250	250	34869	34869	12460	12460	180987	180987	37.6	4.01	85.73	11	3087	1	171	0	0	0	0
GCA_017703535.1_PDT000996655.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3278867	0	450	450	20232	20232	7286	7286	85255	85255	37.6	3.7	86.09	11	3368	1	171	0	0	0	0
GCA_017703555.1_PDT000996653.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3073812	0	265	265	25310	25310	11599	11599	95905	95905	37.6	3.81	85.88	11	3028	1	169	2	0	0	0
GCA_017703575.1_PDT000996652.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3067818	0	227	227	34636	34636	13514	13514	128961	128961	37.6	4.15	85.64	11	3018	1	169	2	0	0	0
GCA_017703595.1_PDT000996647.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3041538	0	280	280	24943	24943	10862	10862	114345	114345	37.7	3.44	85.83	11	3031	1	170	1	0	0	0
GCA_017703615.1_PDT000996648.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2970745	0	394	394	15255	15255	7539	7539	77694	77694	37.9	3.12	86.54	11	3020	1	171	0	0	0	0
GCA_017703635.1_PDT000996643.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3092046	0	229	229	39123	39123	13502	13502	128959	128959	37.6	3.95	85.75	11	3046	1	169	2	0	0	0
GCA_017703655.1_PDT000996642.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3056452	0	238	238	35398	35398	12842	12842	128939	128939	37.6	3.83	85.73	11	3010	1	170	1	0	0	0
GCA_017703675.1_PDT000996638.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3096594	0	233	233	37551	37551	13290	13290	147220	147220	37.6	4.01	85.74	11	3052	1	170	1	0	0	0
GCA_017703685.1_PDT000996635.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3118779	0	230	230	39223	39223	13559	13559	180987	180987	37.6	4.04	85.77	11	3084	1	167	4	0	0	0
GCA_017703715.1_PDT000996637.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3030134	0	270	270	27328	27328	11222	11222	148464	148464	37.7	3.92	85.85	11	3021	1	171	0	0	0	0
GCA_017703735.1_PDT000996633.1	Firmicutes (1)	1349	172	99	98.99	6.73	100.0	3097513	0	205	205	37146	37146	15109	15109	148189	148189	37.7	3.52	85.68	11	3058	1	162	9	0	0	0
GCA_017703755.1_PDT000996632.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3122587	0	224	224	39223	39223	13940	13940	180987	180987	37.6	4.07	85.69	11	3070	1	168	3	0	0	0
GCA_017703775.1_PDT000996631.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3094242	0	215	215	39259	39259	14391	14391	180987	180987	37.6	3.98	85.6	11	3041	1	167	4	0	0	0
GCA_017703795.1_PDT000996626.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3059691	0	210	210	34118	34118	14569	14569	148103	148103	37.7	3.84	85.66	11	3039	1	168	3	0	0	0
GCA_017703815.1_PDT000996627.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3088482	0	230	230	37551	37551	13428	13428	180987	180987	37.6	4.1	85.66	11	3049	1	171	0	0	0	0
