genome	species	repgenome	repgenome_n50	repgenome_dataset	label	clade
GCA_018089585.1_PDT000704720.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	41335	ncbi	env	I
GCA_018089565.1_PDT000704889.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	449508	ncbi	human	I
GCA_018089545.1_PDT000705318.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32533	ncbi	human	II
GCA_018089415.1_PDT000471067.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	201863	ncbi	animal	I
GCA_018089385.1_PDT000471079.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	170201	ncbi	food	II
GCA_018089365.1_PDT000471077.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	194646	ncbi	food	II
GCA_018089325.1_PDT000481390.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	73009	ncbi	food	II
GCA_018089305.1_PDT000480644.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	28952	ncbi	food	II
GCA_018089275.1_PDT000482537.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	47092	ncbi	animal	II
GCA_018089265.1_PDT000481397.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	54810	ncbi	food	II
GCA_018089245.1_PDT000482538.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	90526	ncbi	food	II
GCA_018089085.1_PDT000494472.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	141538	ncbi	food	II
GCA_018089065.1_PDT000498224.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	29769	ncbi	food	II
GCA_018089025.1_PDT000498235.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	65002	ncbi	animal	II
GCA_018089005.1_PDT000498265.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	46925	ncbi	animal	II
GCA_018088985.1_PDT000498271.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	45564	ncbi	animal	II
GCA_018088805.1_PDT000519784.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	103047	ncbi	animal	II
GCA_018088775.1_PDT000519788.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	54270	ncbi	animal	II
GCA_018088765.1_PDT000522530.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	202902	ncbi	animal	II
GCA_018088745.1_PDT000522539.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	72844	ncbi	animal	II
GCA_018088665.1_PDT000533271.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	114230	ncbi	animal	II
GCA_018088585.1_PDT000704503.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33675	ncbi	human	II
GCA_018088525.1_PDT000704509.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32085	ncbi	human	II
GCA_018088445.1_PDT000548960.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	41326	ncbi	animal	II
GCA_018088065.1_PDT000592072.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	81430	ncbi	animal	II
GCA_018088045.1_PDT000592088.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	34384	ncbi	food	II
GCA_018088025.1_PDT000592261.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	61034	ncbi	food	II
GCA_018087945.1_PDT000618768.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	14610	ncbi	human	II
GCA_018087905.1_PDT000619061.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	27567	ncbi	human	II
GCA_018087745.1_PDT000705602.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	83419	ncbi	animal	I
GCA_018087565.1_PDT000683667.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	163277	ncbi	animal	I
GCA_018087465.1_PDT000693966.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31934	ncbi	na	II
GCA_018087425.1_PDT000693970.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	40204	ncbi	na	II
GCA_018087405.1_PDT000694001.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	30368	ncbi	na	II
GCA_018087385.1_PDT000694025.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42798	ncbi	na	II
GCA_018087365.1_PDT000695506.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	214545	ncbi	animal	I
GCA_018087345.1_PDT000694566.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	154775	ncbi	human	I
GCA_018087325.1_PDT000696494.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32209	ncbi	human	II
GCA_018087305.1_PDT000699513.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34687	ncbi	human	II
GCA_018087285.1_PDT000699516.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31239	ncbi	human	II
GCA_018087265.1_PDT000699599.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34770	ncbi	human	II
GCA_018087245.1_PDT000699607.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39399	ncbi	human	II
GCA_018087225.1_PDT000699611.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	35338	ncbi	human	II
GCA_018087205.1_PDT000699627.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38051	ncbi	human	II
GCA_018087185.1_PDT000699629.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32267	ncbi	human	II
GCA_018087165.1_PDT000699636.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42781	ncbi	human	II
GCA_018087145.1_PDT000699676.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38665	ncbi	human	II
GCA_018087125.1_PDT000699679.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	41206	ncbi	human	II
GCA_018087105.1_PDT000699865.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39043	ncbi	human	II
GCA_018087085.1_PDT000699869.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31302	ncbi	human	II
GCA_018087065.1_PDT000699871.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33817	ncbi	human	II
GCA_018087045.1_PDT000699874.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42800	ncbi	human	II
GCA_018087025.1_PDT000699879.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42800	ncbi	human	II
GCA_018087005.1_PDT000699880.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	43365	ncbi	human	II
GCA_018086985.1_PDT000699881.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	43365	ncbi	human	II
GCA_018086965.1_PDT000699947.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31438	ncbi	human	II
GCA_018086945.1_PDT000699965.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23402	ncbi	human	II
GCA_018086925.1_PDT000700075.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26159	ncbi	human	II
GCA_018086905.1_PDT000700117.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	35565	ncbi	human	II
GCA_018086885.1_PDT000700089.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	49994	ncbi	human	II
GCA_018086865.1_PDT000700119.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	49995	ncbi	human	II
GCA_018086845.1_PDT000700146.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32960	ncbi	human	II
GCA_018086825.1_PDT000700183.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29109	ncbi	human	II
GCA_018086805.1_PDT000700140.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	47222	ncbi	human	II
GCA_018086785.1_PDT000700229.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34962	ncbi	human	II
GCA_018086765.1_PDT000700235.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39684	ncbi	human	II
GCA_018086745.1_PDT000700310.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38220	ncbi	human	II
GCA_018086725.1_PDT000700448.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	20421	ncbi	human	II
GCA_018086705.1_PDT000700357.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33049	ncbi	human	II
GCA_018086685.1_PDT000700793.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	44551	ncbi	human	II
GCA_018086665.1_PDT000700980.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38577	ncbi	human	II
GCA_018086645.1_PDT000700913.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26299	ncbi	human	II
GCA_018086625.1_PDT000701025.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26482	ncbi	human	II
GCA_018086605.1_PDT000700989.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37610	ncbi	human	II
GCA_018086585.1_PDT000701057.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42148	ncbi	human	II
GCA_018086565.1_PDT000701339.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37307	ncbi	human	II
GCA_018086545.1_PDT000701357.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26047	ncbi	human	II
GCA_018086505.1_PDT000701476.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33603	ncbi	human	II
GCA_018086515.1_PDT000701370.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34694	ncbi	human	II
GCA_018086485.1_PDT000701363.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	35722	ncbi	human	II
GCA_018086465.1_PDT000701517.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	35540	ncbi	na	II
GCA_018086445.1_PDT000701523.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38110	ncbi	na	II
GCA_018086425.1_PDT000701543.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	35719	ncbi	na	II
GCA_018086405.1_PDT000701529.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	27510	ncbi	na	II
GCA_018086385.1_PDT000701525.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38110	ncbi	na	II
GCA_018086365.1_PDT000701555.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37835	ncbi	na	II
GCA_018086345.1_PDT000701567.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	28004	ncbi	na	II
GCA_018086325.1_PDT000704559.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	27699	ncbi	human	II
GCA_018086285.1_PDT000701573.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38235	ncbi	na	II
GCA_018086265.1_PDT000701644.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39008	ncbi	na	II
GCA_018086245.1_PDT000701653.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	38410	ncbi	na	II
GCA_018086225.1_PDT000701700.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42455	ncbi	na	II
GCA_018086205.1_PDT000701775.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39825	ncbi	na	II
GCA_018086185.1_PDT000701981.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	30111	ncbi	human	II
GCA_018086165.1_PDT000702187.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26051	ncbi	na	II
GCA_018086145.1_PDT000702208.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	24271	ncbi	na	II
GCA_018086125.1_PDT000702211.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	40200	ncbi	na	II
GCA_018086105.1_PDT000702336.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	40478	ncbi	na	II
GCA_018086085.1_PDT000702281.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32176	ncbi	na	II
GCA_018086065.1_PDT000702294.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29108	ncbi	na	II
GCA_018085985.1_PDT000703477.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	22301	ncbi	human	II
GCA_018085965.1_PDT000703469.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	22752	ncbi	human	II
GCA_018085945.1_PDT000703500.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	18740	ncbi	human	II
GCA_018085925.1_PDT000703518.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23831	ncbi	human	II
GCA_018085905.1_PDT000703827.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	25601	ncbi	human	II
GCA_018085875.1_PDT000703790.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34662	ncbi	human	II
GCA_018085865.1_PDT000703522.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32836	ncbi	human	II
GCA_018085845.1_PDT000703940.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	44507	ncbi	human	II
GCA_018085825.1_PDT000703849.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	30689	ncbi	human	II
GCA_018085805.1_PDT000704032.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	39224	ncbi	human	II
GCA_018085785.1_PDT000704030.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37202	ncbi	human	II
GCA_018085765.1_PDT000704142.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37552	ncbi	human	II
GCA_018085745.1_PDT000704186.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37552	ncbi	human	II
GCA_018085725.1_PDT000704189.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37271	ncbi	human	II
GCA_018085705.1_PDT000704219.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	45748	ncbi	human	II
GCA_018085685.1_PDT000704552.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	27382	ncbi	human	II
GCA_018085665.1_PDT000704292.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34694	ncbi	human	II
GCA_018085645.1_PDT000704288.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29095	ncbi	human	II
GCA_018085605.1_PDT000704310.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29729	ncbi	human	II
GCA_018085585.1_PDT000704341.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	25467	ncbi	human	II
GCA_018085565.1_PDT000705133.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	30989	ncbi	human	II
GCA_018085545.1_PDT000704515.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31497	ncbi	human	II
GCA_018085505.1_PDT000705624.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	151738	ncbi	animal	I
GCA_018085445.1_PDT000704476.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	28916	ncbi	human	II
GCA_018085465.1_PDT000704321.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	25202	ncbi	human	II
GCA_018085405.1_PDT000704484.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29865	ncbi	human	II
GCA_018085415.1_PDT000704439.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23829	ncbi	human	II
GCA_018084945.1_PDT000740675.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	26702	ncbi	human	II
GCA_018084925.1_PDT000740754.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23029	ncbi	human	II
GCA_018084905.1_PDT000740681.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	25558	ncbi	human	II
GCA_018084885.1_PDT000740782.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23859	ncbi	human	II
GCA_018084865.1_PDT000740920.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	20523	ncbi	human	II
GCA_018084845.1_PDT000740827.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31271	ncbi	human	II
GCA_018084825.1_PDT000741625.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33736	ncbi	human	II
GCA_018084805.1_PDT000740732.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	19995	ncbi	human	II
GCA_018084785.1_PDT000741657.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42886	ncbi	human	II
GCA_018084765.1_PDT000741775.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29572	ncbi	human	II
GCA_018084745.1_PDT000741788.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	40673	ncbi	human	II
GCA_018084725.1_PDT000741825.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	43201	ncbi	human	II
GCA_018084705.1_PDT000741833.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31891	ncbi	human	II
GCA_018084645.1_PDT000741945.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	23667	ncbi	human	II
GCA_018084685.1_PDT000741944.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32870	ncbi	human	II
GCA_018084665.1_PDT000741922.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	43679	ncbi	human	II
GCA_018084625.1_PDT000741960.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37161	ncbi	human	II
GCA_018084605.1_PDT000742157.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	27296	ncbi	human	II
GCA_018084585.1_PDT000742175.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	19063	ncbi	human	II
GCA_018084565.1_PDT000742783.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37267	ncbi	human	II
GCA_018084545.1_PDT000742957.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33087	ncbi	human	II
GCA_018084525.1_PDT000743052.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	14189	ncbi	human	II
GCA_018084505.1_PDT000743066.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	43590	ncbi	human	II
GCA_018084485.1_PDT000743132.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	30229	ncbi	human	II
GCA_018084465.1_PDT000743215.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	15174	ncbi	human	II
GCA_018084445.1_PDT000743197.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33265	ncbi	human	II
GCA_018084425.1_PDT000743223.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31897	ncbi	human	II
GCA_018084405.1_PDT000744173.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	19508	ncbi	human	II
GCA_018084385.1_PDT000744208.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	25978	ncbi	human	II
GCA_018083885.1_PDT000792252.2	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	249385	ncbi	human	I
GCA_018083165.1_PDT001007289.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	92389	ncbi	animal	I
GCA_018083105.1_PDT001007292.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	122282	ncbi	animal	I
GCA_018083125.1_PDT001007290.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	125861	ncbi	animal	I
GCA_018083085.1_PDT001007291.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	199620	ncbi	animal	I
GCA_018083065.1_PDT001007294.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	202629	ncbi	animal	I
GCA_018083045.1_PDT001007293.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	234435	ncbi	animal	I
GCA_018083025.1_PDT001007295.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	187798	ncbi	animal	I
GCA_018083005.1_PDT001007297.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	207198	ncbi	animal	I
GCA_018082985.1_PDT001007296.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	53355	ncbi	animal	I
GCA_018082965.1_PDT001007298.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	101114	ncbi	animal	I
GCA_018082945.1_PDT001007302.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	100168	ncbi	animal	I
GCA_018082925.1_PDT001007299.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	97962	ncbi	animal	I
GCA_018082885.1_PDT001007304.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	90507	ncbi	animal	I
GCA_018072965.1_PDT000820225.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34677	ncbi	human	II
GCA_018072945.1_PDT000820164.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34825	ncbi	human	II
GCA_018072905.1_PDT000820112.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33078	ncbi	human	II
GCA_018072865.1_PDT000820326.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	37967	ncbi	human	II
GCA_018072105.1_PDT000820580.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29110	ncbi	human	II
GCA_018072065.1_PDT000820584.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	24435	ncbi	human	II
GCA_018072085.1_PDT000820333.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34677	ncbi	human	II
GCA_018072045.1_PDT000820611.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	29110	ncbi	human	II
GCA_018072025.1_PDT000820635.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	143419	ncbi	human	I
GCA_018072925.1_PDT000820297.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	40639	ncbi	human	II
GCA_018070965.1_ASM1807096v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2941373	ncbi	human	II
GCA_018070945.1_ASM1807094v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2935818	ncbi	human	II
GCA_018070925.1_ASM1807092v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2947926	ncbi	human	II
GCA_018070905.1_ASM1807090v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2863308	ncbi	human	II
GCA_018070885.1_ASM1807088v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2865519	ncbi	human	II
GCA_018070855.1_ASM1807085v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2771239	ncbi	human	II
GCA_018070845.1_ASM1807084v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2746235	ncbi	human	II
GCA_018070825.1_ASM1807082v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2901438	ncbi	human	II
GCA_018070805.1_ASM1807080v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	3031757	ncbi	human	II
GCA_018070785.1_ASM1807078v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2929282	ncbi	human	II
GCA_018070765.1_ASM1807076v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2964602	ncbi	human	II
GCA_018070725.1_ASM1807072v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2962524	ncbi	human	II
GCA_018070705.1_ASM1807070v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2749978	ncbi	human	II
GCA_018070615.1_ASM1807061v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	2855190	ncbi	human	II
GCA_018069825.1_ASM1806982v1	Enterococcus faecium B	GCA_015767715.1_ASM1576771v1	97582	ncbi	animal	II
GCA_018069745.1_ASM1806974v1	Enterococcus lactis	GCA_003269465.1_ASM326946v1	140067	ncbi	animal	II
GCA_018060285.1_ASM1806028v1	Enterococcus aquimarinus	Ente_sp_CF1B_V1	10434	ncbi	env_human	IV
GCA_018059045.1_ASM1805904v1	Enterococcus aquimarinus	Ente_sp_CF1B_V1	11630	ncbi	env_human	IV
GCA_018054325.1_ASM1805432v1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	20706	ncbi	env_human	II
GCA_018053825.1_ASM1805382v1	Enterococcus aquimarinus	Ente_sp_CF1B_V1	12925	ncbi	env_human	IV
GCA_018040705.1_PDT000865879.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	24777	ncbi	human	II
GCA_018040685.1_PDT000865882.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34118	ncbi	human	II
GCA_018034025.1_PDT000901979.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	50067	ncbi	food	II
GCA_018025735.1_PDT000942789.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	42166	ncbi	human	II
GCA_018025715.1_PDT000942785.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	50000	ncbi	human	II
GCA_018025695.1_PDT000942893.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	19694	ncbi	human	II
GCA_018025675.1_PDT000942790.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	31571	ncbi	human	II
GCA_018021095.1_PDT000968313.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	34695	ncbi	human	II
GCA_018021075.1_PDT000968327.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	33263	ncbi	human	II
GCA_018021035.1_PDT000968339.1	Enterococcus faecium A	GCA_009938075.1_ASM993807v1	32245	ncbi	human	II
