genome	completeness	contamination	strain_heterogeneity	genome_size	phylosift_flag	n50	num_comp	dataset
GCA_017701875.1_PDT000996794.1	98.99	0.0	0.0	3047834	0.0	35398	232	ncbi
GCA_017701895.1_PDT000996791.1	98.99	0.0	0.0	3076091	0.0	24337	287	ncbi
GCA_017701915.1_PDT000996790.1	98.99	0.0	0.0	3129211	0.0	34688	231	ncbi
GCA_017701935.1_PDT000996789.1	98.99	0.0	0.0	3134656	0.0	34963	228	ncbi
GCA_017701955.1_PDT000996786.1	98.99	0.0	0.0	3048441	0.0	23261	295	ncbi
GCA_017701975.1_PDT000996785.1	98.99	0.0	0.0	3066745	0.0	34869	242	ncbi
GCA_017701995.1_PDT000996782.1	98.99	0.0	0.0	2999673	0.0	23441	267	ncbi
GCA_017702015.1_PDT000996779.1	98.99	0.0	0.0	3083538	0.0	23675	292	ncbi
GCA_017702035.1_PDT000996780.1	98.99	0.0	0.0	3064644	0.0	37212	232	ncbi
GCA_017702055.1_PDT000996775.1	98.99	1.01	100.0	3084224	0.0	31648	254	ncbi
GCA_017702075.1_PDT000996774.1	98.99	0.51	100.0	3065207	0.0	31194	269	ncbi
GCA_017702095.1_PDT000996765.1	98.99	0.0	0.0	3092642	0.0	34077	248	ncbi
GCA_017702135.1_PDT000996764.1	98.99	0.0	0.0	3051008	0.0	29079	282	ncbi
GCA_017702155.1_PDT000996758.1	98.99	1.01	100.0	3069967	0.0	32497	256	ncbi
GCA_017702175.1_PDT000996755.1	98.99	0.0	0.0	2969767	0.0	13775	482	ncbi
GCA_017702195.1_PDT000996754.1	98.99	1.01	100.0	3115382	0.0	29862	252	ncbi
GCA_017702215.1_PDT000996750.1	98.99	1.01	100.0	3086803	0.0	34330	264	ncbi
GCA_017702235.1_PDT000996749.1	98.99	0.0	0.0	3066578	0.0	23805	311	ncbi
GCA_017702255.1_PDT000996745.1	98.99	0.0	0.0	2863365	0.0	15944	351	ncbi
GCA_017702275.1_PDT000996743.1	98.99	2.02	100.0	3104793	0.0	34330	244	ncbi
GCA_017702295.1_PDT000996740.1	98.99	2.02	100.0	3221396	1.0	27438	283	ncbi
GCA_017702315.1_PDT000996738.1	98.99	0.0	0.0	3018619	0.0	26606	276	ncbi
GCA_017702335.1_PDT000996735.1	98.99	0.0	0.0	2988456	0.0	46219	211	ncbi
GCA_017702355.1_PDT000996734.1	98.99	0.0	0.0	2980237	0.0	36936	211	ncbi
GCA_017702375.1_PDT000996733.1	98.99	0.0	0.0	3019492	0.0	24980	310	ncbi
GCA_017702395.1_PDT000997081.1	98.99	0.0	0.0	3062210	0.0	34330	237	ncbi
GCA_017702415.1_PDT000997063.1	98.99	0.0	0.0	3054534	0.0	40664	204	ncbi
GCA_017702435.1_PDT000997107.1	98.99	1.52	100.0	3081731	1.0	38904	223	ncbi
GCA_017702455.1_PDT000997052.1	98.99	1.01	100.0	3077334	0.0	40414	227	ncbi
GCA_017702475.1_PDT000997047.1	98.99	0.0	0.0	3080753	0.0	38902	231	ncbi
GCA_017702495.1_PDT000997000.1	98.99	0.0	0.0	3122592	0.0	39259	220	ncbi
GCA_017702505.1_PDT000997005.1	98.99	2.02	100.0	3094380	0.0	40414	222	ncbi
GCA_017702535.1_PDT000997037.1	98.99	0.0	0.0	2965720	0.0	39259	214	ncbi
GCA_017702555.1_PDT000996980.1	98.99	1.01	100.0	3009717	0.0	33262	209	ncbi
GCA_017702575.1_PDT000996990.1	98.99	0.0	0.0	3047046	0.0	46981	209	ncbi
GCA_017702595.1_PDT000996934.1	98.99	1.01	100.0	3074115	0.0	34030	219	ncbi
GCA_017702605.1_PDT000996950.1	98.99	1.01	100.0	3022829	0.0	33576	212	ncbi
GCA_017702635.1_PDT000996883.1	98.99	0.0	0.0	3065583	0.0	34636	243	ncbi
GCA_017702655.1_PDT000996834.1	98.99	0.0	0.0	2877565	0.0	37103	194	ncbi
GCA_017702665.1_PDT000996827.1	98.99	2.02	100.0	3022576	1.0	44490	197	ncbi
GCA_017702695.1_PDT000996818.1	98.99	2.02	100.0	3100671	0.0	37551	235	ncbi
GCA_017702715.1_PDT000996825.1	98.99	4.04	100.0	3126815	1.0	28098	216	ncbi
GCA_017702725.1_PDT000996829.1	98.99	1.01	100.0	3007468	0.0	40675	201	ncbi
GCA_017702755.1_PDT000996770.1	98.99	1.01	100.0	3065989	0.0	25358	258	ncbi
GCA_017702775.1_PDT000996787.1	98.99	1.01	100.0	3122947	0.0	34688	227	ncbi
GCA_017702795.1_PDT000996730.1	98.99	1.01	100.0	3082568	0.0	34636	248	ncbi
GCA_017702815.1_PDT000996721.1	98.99	1.01	100.0	3110215	0.0	27567	264	ncbi
GCA_017702835.1_PDT000996748.1	98.99	0.67	100.0	3029433	0.0	26669	234	ncbi
GCA_017702855.1_PDT000996719.1	98.99	0.0	0.0	2974230	0.0	35607	211	ncbi
GCA_017702875.1_PDT000996718.1	98.99	0.0	0.0	3104654	0.0	31704	260	ncbi
GCA_017702895.1_PDT000996709.1	98.99	0.0	0.0	3014561	0.0	32322	249	ncbi
GCA_017702905.1_PDT000996713.1	98.99	0.0	0.0	3061720	0.0	31843	268	ncbi
GCA_017702935.1_PDT000996706.1	98.99	0.0	0.0	2959489	0.0	40190	218	ncbi
GCA_017702955.1_PDT000996704.1	98.99	0.0	0.0	3085436	0.0	32696	211	ncbi
GCA_017702975.1_PDT000996703.1	98.99	0.0	0.0	3037073	0.0	25317	282	ncbi
GCA_017702995.1_PDT000996698.1	98.99	0.0	0.0	3026126	0.0	32170	237	ncbi
GCA_017703015.1_PDT000996694.1	98.99	2.02	100.0	3084455	1.0	39259	222	ncbi
GCA_017703035.1_PDT000996692.1	98.99	2.02	100.0	3113320	0.0	40414	225	ncbi
GCA_017703045.1_PDT000996693.1	98.99	0.0	0.0	3072892	0.0	30988	236	ncbi
GCA_017703075.1_PDT000996687.1	98.99	1.01	100.0	3042621	1.0	37146	207	ncbi
GCA_017703095.1_PDT000996682.1	98.99	1.01	100.0	3063056	0.0	31960	242	ncbi
GCA_017703115.1_PDT000996679.1	98.99	1.01	100.0	3111156	0.0	38904	238	ncbi
GCA_017703135.1_PDT000996683.1	98.99	2.02	100.0	3131057	1.0	37702	232	ncbi
GCA_017703155.1_PDT000996684.1	98.99	1.01	100.0	3093291	0.0	40414	214	ncbi
GCA_017703175.1_PDT000996678.1	98.99	0.0	0.0	2988507	0.0	33737	242	ncbi
GCA_017703195.1_PDT000996674.1	98.99	2.02	100.0	3075084	1.0	40414	218	ncbi
GCA_017703215.1_PDT000996677.1	98.99	1.01	100.0	3081351	0.0	37245	224	ncbi
GCA_017703235.1_PDT000996673.1	98.99	5.05	100.0	3078750	1.0	34789	222	ncbi
GCA_017703255.1_PDT000996672.1	98.99	1.01	100.0	3082633	0.0	40815	226	ncbi
GCA_017703275.1_PDT000996669.1	98.99	2.02	100.0	3188735	1.0	37149	221	ncbi
GCA_017703295.1_PDT000996670.1	98.99	0.0	0.0	3071896	0.0	36902	221	ncbi
GCA_017703315.1_PDT000996668.1	98.99	0.0	0.0	3048267	0.0	31705	233	ncbi
GCA_017703335.1_PDT000996667.1	98.99	0.0	0.0	3096094	0.0	34330	239	ncbi
GCA_017703355.1_PDT000996665.1	98.99	0.0	0.0	3082532	0.0	37245	239	ncbi
GCA_017703375.1_PDT000996663.1	98.99	2.02	100.0	3103542	0.0	37615	226	ncbi
GCA_017703395.1_PDT000997012.1	98.99	0.0	0.0	2985346	0.0	29097	234	ncbi
GCA_017703415.1_PDT000996940.1	98.99	0.0	0.0	2914313	0.0	44966	189	ncbi
GCA_017703435.1_PDT000996778.1	98.99	0.0	0.0	2999354	0.0	43678	208	ncbi
GCA_017703455.1_PDT000996661.1	98.99	0.0	0.0	3066434	0.0	37091	231	ncbi
GCA_017703475.1_PDT000996662.1	98.99	2.02	100.0	3075181	1.0	38904	229	ncbi
GCA_017703495.1_PDT000996658.1	98.99	3.03	100.0	3120942	0.0	35398	236	ncbi
GCA_017703515.1_PDT000996657.1	98.99	0.0	0.0	3115077	0.0	34869	250	ncbi
GCA_017703535.1_PDT000996655.1	98.99	0.0	0.0	3278867	0.0	20232	450	ncbi
GCA_017703555.1_PDT000996653.1	98.99	1.01	100.0	3073812	0.0	25310	265	ncbi
GCA_017703575.1_PDT000996652.1	98.99	1.01	100.0	3067818	0.0	34636	227	ncbi
GCA_017703595.1_PDT000996647.1	98.99	1.01	100.0	3041538	0.0	24943	280	ncbi
GCA_017703615.1_PDT000996648.1	98.99	0.0	0.0	2970745	0.0	15255	394	ncbi
GCA_017703635.1_PDT000996643.1	98.99	1.01	100.0	3092046	0.0	39123	229	ncbi
GCA_017703655.1_PDT000996642.1	98.99	1.01	100.0	3056452	1.0	35398	238	ncbi
GCA_017703675.1_PDT000996638.1	98.99	1.01	100.0	3096594	0.0	37551	233	ncbi
GCA_017703685.1_PDT000996635.1	98.99	3.03	100.0	3118779	1.0	39223	230	ncbi
GCA_017703715.1_PDT000996637.1	98.99	0.0	0.0	3030134	0.0	27328	270	ncbi
GCA_017703735.1_PDT000996633.1	98.99	6.73	100.0	3097513	0.0	37146	205	ncbi
GCA_017703755.1_PDT000996632.1	98.99	2.02	100.0	3122587	0.0	39223	224	ncbi
GCA_017703775.1_PDT000996631.1	98.99	3.03	100.0	3094242	1.0	39259	215	ncbi
GCA_017703795.1_PDT000996626.1	98.99	1.01	100.0	3059691	0.0	34118	210	ncbi
GCA_017703815.1_PDT000996627.1	98.99	0.0	0.0	3088482	0.0	37551	230	ncbi
GCA_017703835.1_PDT000996623.1	98.99	2.02	100.0	3100279	0.0	40414	225	ncbi
GCA_017703855.1_PDT000996621.1	98.99	0.0	0.0	3064506	0.0	34330	238	ncbi
GCA_017703875.1_PDT000996618.1	98.99	1.01	100.0	3072199	1.0	33689	250	ncbi
GCA_017703895.1_PDT000996612.1	98.99	2.02	100.0	3099432	0.0	32950	217	ncbi
GCA_017703905.1_PDT000996617.1	98.99	0.0	0.0	2998260	0.0	27570	254	ncbi
GCA_017703935.1_PDT000996608.1	98.99	2.02	100.0	3073539	1.0	35398	217	ncbi
GCA_017703955.1_PDT000996598.1	98.99	0.0	0.0	3042708	0.0	34869	237	ncbi
GCA_017703975.1_PDT000996607.1	98.99	1.01	100.0	3095328	0.0	38902	213	ncbi
GCA_017703995.1_PDT000996603.1	98.99	0.0	0.0	3062706	0.0	34706	228	ncbi
GCA_017704015.1_PDT000996597.1	98.99	1.01	100.0	3018104	0.0	34663	188	ncbi
GCA_017704025.1_PDT000996601.1	98.99	3.03	100.0	3108537	1.0	37552	221	ncbi
GCA_017704055.1_PDT000996596.1	98.99	2.02	100.0	3077226	1.0	35398	251	ncbi
GCA_017704075.1_PDT000996592.1	98.99	0.0	0.0	3042598	0.0	32168	253	ncbi
GCA_017704095.1_PDT000996588.1	98.99	0.0	0.0	3056437	0.0	23581	276	ncbi
GCA_017704115.1_PDT000996583.1	98.99	1.01	100.0	3084766	0.0	39223	207	ncbi
GCA_017704135.1_PDT000996590.1	98.99	0.0	0.0	2919664	0.0	32710	209	ncbi
GCA_017704155.1_PDT000996587.1	98.99	0.0	0.0	3006398	0.0	19126	329	ncbi
GCA_017704175.1_PDT000996582.1	98.99	0.0	0.0	3063063	0.0	34789	199	ncbi
GCA_017704195.1_PDT000996575.1	98.99	0.0	0.0	2957958	0.0	30230	209	ncbi
GCA_017704215.1_PDT000996579.1	98.99	1.01	100.0	2932499	1.0	47469	175	ncbi
GCA_017704235.1_PDT000996576.1	98.99	2.02	100.0	2963485	1.0	31014	208	ncbi
GCA_017704255.1_PDT000996574.1	98.99	2.02	100.0	2966684	1.0	34115	200	ncbi
GCA_017704275.1_PDT000996573.1	98.99	2.02	100.0	2985380	1.0	32533	202	ncbi
GCA_017704295.1_PDT000996747.1	98.99	0.0	0.0	3073592	0.0	27144	273	ncbi
GCA_017704315.1_PDT000996572.1	98.99	4.04	100.0	2999313	1.0	34771	191	ncbi
GCA_017704335.1_PDT000997020.1	98.99	0.0	0.0	3055586	0.0	34626	231	ncbi
GCA_017704355.1_PDT000996636.1	98.99	0.0	0.0	3057955	0.0	37551	231	ncbi
GCA_017704375.1_PDT000996610.1	98.99	2.02	100.0	3073167	0.0	37214	221	ncbi
GCA_017704395.1_PDT000996571.1	98.99	3.03	100.0	3083139	1.0	34962	195	ncbi
GCA_017704415.1_PDT000996569.1	98.99	3.03	100.0	3093881	1.0	34330	209	ncbi
GCA_017704435.1_PDT000996600.1	98.99	1.01	100.0	3075045	0.0	35398	219	ncbi
GCA_017704455.1_PDT000996570.1	98.99	0.0	0.0	2977564	0.0	30521	200	ncbi
GCA_017704475.1_PDT000996568.1	98.99	4.04	100.0	3109358	1.0	38080	207	ncbi
GCA_017704495.1_PDT000996567.1	98.99	3.03	100.0	2985923	0.0	34525	187	ncbi
GCA_017704515.1_PDT000996566.1	98.99	0.0	0.0	2968530	0.0	34771	190	ncbi
GCA_017704535.1_PDT000996565.1	98.99	4.04	100.0	3095169	0.0	30936	230	ncbi
GCA_017704555.1_PDT000996563.1	98.99	2.02	100.0	2998000	1.0	34118	190	ncbi
GCA_017704575.1_PDT000996562.1	98.99	2.02	100.0	3132869	0.0	38904	240	ncbi
GCA_017704595.1_PDT000996561.1	98.99	2.02	100.0	3105376	0.0	38904	220	ncbi
GCA_017704615.1_PDT000996586.1	98.99	0.0	0.0	3059696	0.0	25579	271	ncbi
GCA_017704635.1_PDT000996584.1	98.99	7.07	100.0	3271818	0.0	33009	256	ncbi
GCA_017704655.1_PDT000996580.1	98.99	1.01	100.0	3118989	0.0	40414	223	ncbi
GCA_017704675.1_PDT000996581.1	98.99	4.04	100.0	3112518	1.0	38904	209	ncbi
GCA_017704685.1_PDT000996557.1	98.99	3.03	100.0	3107945	1.0	31843	242	ncbi
GCA_017704715.1_PDT000996556.1	98.99	0.0	0.0	3037890	0.0	31842	262	ncbi
GCA_017704735.1_PDT000996560.1	98.99	0.0	0.0	2964406	0.0	23126	294	ncbi
GCA_017704745.1_PDT000996555.1	98.99	3.03	100.0	3068911	1.0	37000	213	ncbi
GCA_017704775.1_PDT000996554.1	98.99	2.02	100.0	3017507	0.0	34664	202	ncbi
GCA_017704795.1_PDT000996553.1	98.99	5.05	100.0	3084477	1.0	34962	213	ncbi
GCA_017704815.1_PDT000996548.1	98.99	3.03	100.0	3090758	1.0	34789	202	ncbi
GCA_017704835.1_PDT000996546.1	98.99	0.0	0.0	2984988	0.0	33263	218	ncbi
GCA_017704845.1_PDT000996547.1	98.99	0.0	0.0	2993617	0.0	31515	223	ncbi
GCA_017704875.1_PDT000996550.1	98.99	1.01	100.0	3123698	0.0	35151	267	ncbi
GCA_017704895.1_PDT000996552.1	98.99	0.0	0.0	3029448	0.0	36230	223	ncbi
GCA_017704915.1_PDT000996545.1	98.99	2.02	100.0	3006465	1.0	31000	219	ncbi
GCA_017704935.1_PDT000996541.1	98.99	1.01	100.0	3130332	0.0	38011	236	ncbi
GCA_017704955.1_PDT000996542.1	98.99	2.02	100.0	3097303	1.0	31842	250	ncbi
GCA_017704975.1_PDT000996539.1	98.99	1.01	100.0	3097917	0.0	39259	230	ncbi
GCA_017704995.1_PDT000996540.1	98.99	0.0	0.0	3106812	0.0	37551	225	ncbi
GCA_017705015.1_PDT000996536.1	98.99	0.0	0.0	3043207	0.0	29749	242	ncbi
GCA_017705035.1_PDT000996538.1	98.99	3.03	100.0	3050909	1.0	32497	235	ncbi
GCA_017705055.1_PDT000996537.1	98.99	4.04	100.0	3110747	1.0	37151	198	ncbi
GCA_017705075.1_PDT000996533.1	98.99	2.02	100.0	3101096	0.0	39259	220	ncbi
GCA_017705095.1_PDT000996532.1	98.99	2.02	100.0	3090708	0.0	34841	219	ncbi
GCA_017705115.1_PDT000996531.1	98.99	0.0	0.0	3060661	0.0	42953	210	ncbi
GCA_017705135.1_PDT000996529.1	98.99	4.04	100.0	3102997	0.0	38903	231	ncbi
GCA_017705155.1_PDT000996530.1	98.99	2.02	100.0	2952433	1.0	38688	208	ncbi
GCA_017705175.1_PDT000996526.1	98.99	2.02	100.0	3142853	1.0	35882	220	ncbi
GCA_017705195.1_PDT000996527.1	98.99	2.02	100.0	3093010	0.0	34330	230	ncbi
GCA_017705215.1_PDT000996525.1	98.99	0.0	0.0	3020490	0.0	24575	274	ncbi
GCA_017705235.1_PDT000996523.1	98.99	1.01	100.0	3076651	0.0	27937	267	ncbi
GCA_017705255.1_PDT000996524.1	98.99	0.0	0.0	3084485	0.0	33526	232	ncbi
GCA_017705275.1_PDT000996521.1	98.99	2.02	100.0	3073038	1.0	26464	259	ncbi
GCA_017705295.1_PDT000996520.1	98.99	1.01	100.0	3282944	0.0	40376	333	ncbi
GCA_017705315.1_PDT000996516.1	98.99	0.0	0.0	3030691	0.0	34962	212	ncbi
GCA_017705335.1_PDT000996514.1	98.99	0.0	0.0	3046440	0.0	37146	207	ncbi
GCA_017705355.1_PDT000997112.1	98.99	3.03	100.0	3081521	1.0	39259	221	ncbi
GCA_017705375.1_PDT000996518.1	98.99	0.0	0.0	3033553	0.0	31894	227	ncbi
GCA_017705395.1_PDT000996515.1	98.99	3.03	100.0	3102176	1.0	37000	214	ncbi
GCA_017705415.1_PDT000997076.1	98.99	3.03	100.0	3068626	1.0	34118	207	ncbi
GCA_017705435.1_PDT000997103.1	98.99	0.0	0.0	2969877	0.0	22760	284	ncbi
GCA_017705455.1_PDT000997098.1	98.99	0.0	0.0	3056488	0.0	13756	461	ncbi
GCA_017705475.1_PDT000997057.1	98.99	0.0	0.0	3042937	0.0	24495	281	ncbi
GCA_017705495.1_PDT000996814.1	98.99	0.0	0.0	3063149	0.0	35400	238	ncbi
GCA_017705515.1_PDT000997007.1	98.99	6.06	100.0	3173367	1.0	34962	219	ncbi
GCA_017705535.1_PDT000997022.1	98.99	0.0	0.0	2990156	0.0	29148	284	ncbi
GCA_017705555.1_PDT000996808.1	98.99	6.06	100.0	3161093	1.0	34873	232	ncbi
GCA_017705575.1_PDT000996777.1	98.99	1.01	100.0	3061147	0.0	34118	236	ncbi
GCA_017705595.1_PDT000996772.1	98.99	0.0	0.0	3068991	0.0	28030	289	ncbi
GCA_017705615.1_PDT000996753.1	98.99	0.0	0.0	3008190	0.0	23044	286	ncbi
GCA_017705635.1_PDT000996746.1	98.99	1.01	100.0	3099218	0.0	31362	279	ncbi
GCA_017705655.1_PDT000996727.1	98.99	0.0	0.0	2867398	0.0	36044	198	ncbi
GCA_017705675.1_PDT000996705.1	98.99	1.01	100.0	3077364	0.0	37542	235	ncbi
GCA_017705695.1_PDT000996646.1	98.99	2.53	75.0	3073533	0.0	38902	210	ncbi
GCA_017705715.1_PDT000996656.1	98.99	2.02	100.0	3108923	0.0	34397	245	ncbi
GCA_017705735.1_PDT000996659.1	98.99	1.01	100.0	3051567	0.0	37151	205	ncbi
GCA_017705755.1_PDT000996686.1	98.99	2.02	100.0	3105163	1.0	44939	212	ncbi
GCA_017705775.1_PDT000996630.1	98.99	3.03	100.0	3147342	1.0	38249	207	ncbi
GCA_017705795.1_PDT000996625.1	98.99	2.02	100.0	3068673	1.0	35398	234	ncbi
GCA_017705815.1_PDT000996629.1	98.99	1.01	100.0	3080052	0.0	35398	225	ncbi
GCA_017705835.1_PDT000996624.1	98.99	2.02	100.0	3097900	0.0	38902	228	ncbi
GCA_017705855.1_PDT000996620.1	98.99	1.52	100.0	3093043	0.0	34643	232	ncbi
GCA_017705875.1_PDT000996595.1	98.99	1.01	100.0	3082226	0.0	33817	218	ncbi
GCA_017705895.1_PDT000996594.1	98.99	0.0	0.0	2940779	0.0	34665	196	ncbi
GCA_017705915.1_PDT000996585.1	98.99	1.01	100.0	3100056	0.0	31843	230	ncbi
GCA_017705935.1_PDT000996549.1	98.99	0.0	0.0	3036473	0.0	32533	219	ncbi
GCA_017705955.1_PDT000996544.1	98.99	0.0	0.0	3002621	0.0	28573	237	ncbi
GCA_017705975.1_PDT000996558.1	98.99	1.01	100.0	3061359	0.0	34636	236	ncbi
GCA_017705995.1_PDT000996528.1	98.99	1.01	100.0	3084182	0.0	39223	229	ncbi
GCA_017706015.1_PDT000996543.1	98.99	0.0	0.0	3003903	0.0	34115	209	ncbi
GCA_017706035.1_PDT000996511.1	98.99	0.0	0.0	2900623	0.0	34962	201	ncbi
GCA_017706055.1_PDT000996510.1	98.99	4.04	100.0	3155061	1.0	37146	202	ncbi
GCA_017706075.1_PDT000996506.1	98.99	4.04	100.0	3139794	0.0	32873	209	ncbi
GCA_017706085.1_PDT000996509.1	98.99	2.02	100.0	3121223	0.0	34636	241	ncbi
GCA_017706115.1_PDT000996508.1	98.99	0.0	0.0	2945234	0.0	27289	252	ncbi
GCA_017706135.1_PDT000996504.1	98.99	4.04	100.0	3079024	0.0	37146	196	ncbi
GCA_017706155.1_PDT000996500.1	98.99	6.06	100.0	3134401	1.0	37016	192	ncbi
GCA_017706175.1_PDT000996505.1	98.99	0.0	0.0	3085737	0.0	23625	334	ncbi
GCA_017706195.1_PDT000996503.1	98.99	1.01	100.0	3119254	0.0	26585	259	ncbi
GCA_017706215.1_PDT000996501.1	98.99	6.06	100.0	3200814	1.0	34962	205	ncbi
GCA_017706235.1_PDT000996499.1	98.99	1.01	100.0	3112424	0.0	39259	212	ncbi
GCA_017706255.1_PDT000996494.1	98.99	7.07	100.0	3149748	1.0	37000	206	ncbi
GCA_017706275.1_PDT000996495.1	98.99	1.01	100.0	3039250	0.0	27622	228	ncbi
GCA_017706285.1_PDT000996498.1	98.99	10.1	100.0	3153541	1.0	34962	205	ncbi
GCA_017706315.1_PDT000996493.1	98.99	1.01	100.0	3080399	0.0	37148	202	ncbi
GCA_017706335.1_PDT000996492.1	98.99	5.05	100.0	3103899	0.0	34119	200	ncbi
GCA_017706355.1_PDT000996486.1	98.99	1.01	100.0	3021253	0.0	29695	229	ncbi
GCA_017706375.1_PDT000996491.1	98.99	2.02	100.0	3108050	1.0	34962	212	ncbi
GCA_017706395.1_PDT000996490.1	98.99	9.09	100.0	3125882	1.0	37148	202	ncbi
GCA_017706415.1_PDT000996484.1	98.99	4.04	100.0	3122838	0.0	45428	223	ncbi
GCA_017706435.1_PDT000996483.1	98.99	10.1	100.0	3165786	1.0	37016	206	ncbi
GCA_017706455.1_PDT000996481.1	98.99	4.04	100.0	3111607	0.0	37146	207	ncbi
GCA_017706475.1_PDT000996479.1	98.99	2.02	100.0	2980409	1.0	38652	204	ncbi
GCA_017706495.1_PDT000996480.1	98.99	3.03	100.0	3114774	1.0	37000	209	ncbi
GCA_017706515.1_PDT000996474.1	98.99	1.01	100.0	3072411	0.0	37000	196	ncbi
GCA_017706535.1_PDT000996470.1	98.99	6.06	100.0	3124120	0.0	38923	193	ncbi
GCA_017706555.1_PDT000996467.1	98.99	1.01	100.0	3072200	0.0	37504	224	ncbi
GCA_017706575.1_PDT000996469.1	98.99	0.0	0.0	2924551	0.0	25281	230	ncbi
GCA_017706595.1_PDT000996465.1	98.99	1.01	100.0	3119322	0.0	38902	212	ncbi
GCA_017706615.1_PDT000996468.1	98.99	3.03	100.0	3107341	1.0	40668	207	ncbi
GCA_017706635.1_PDT000996464.1	98.99	0.0	0.0	2970020	0.0	34643	205	ncbi
GCA_017706655.1_PDT000996460.1	98.99	0.0	0.0	3033719	0.0	32968	218	ncbi
GCA_017706675.1_PDT000996458.1	98.99	4.04	100.0	3073589	1.0	22026	278	ncbi
GCA_017706695.1_PDT000996459.1	98.99	5.05	100.0	3071493	0.0	32522	203	ncbi
GCA_017706715.1_PDT000996457.1	98.99	0.0	0.0	3141949	0.0	35484	208	ncbi
GCA_017706735.1_PDT000996455.1	98.99	1.35	100.0	3060132	1.0	37000	192	ncbi
GCA_017706755.1_PDT000996454.1	98.99	1.01	100.0	3063554	0.0	32178	219	ncbi
GCA_017706775.1_PDT000996453.1	98.99	0.0	0.0	3128710	0.0	28603	254	ncbi
GCA_017706795.1_PDT000996452.1	98.99	3.03	100.0	3118272	0.0	37214	238	ncbi
GCA_017706815.1_PDT000996449.1	98.99	0.0	0.0	3077533	0.0	32966	211	ncbi
GCA_017706835.1_PDT000996450.1	98.99	3.03	100.0	3133573	1.0	40825	229	ncbi
GCA_017706855.1_PDT000996448.1	98.99	3.7	100.0	3056266	1.0	30460	210	ncbi
GCA_017706875.1_PDT000996447.1	98.99	0.0	0.0	3120713	0.0	40635	185	ncbi
GCA_017706895.1_PDT000996444.1	98.99	2.02	100.0	3008255	1.0	31292	229	ncbi
